Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_per_90,Ast_per_90,G+A_per_90,G-PK_per_90,G+A-PK_per_90,Matches,Team
Nani,POR,"MF,FW",36.0,28,10,934.0,10.4,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,0.29,0.19,0.48,0.29,0.48,Matches,Adana-Demirspor
Mario Balotelli,ITA,FW,32.0,16,10,933.0,10.4,7.0,1.0,8.0,6.0,1.0,1.0,7.0,1.0,0.68,0.1,0.77,0.58,0.68,Matches,Adana-Demirspor
Youcef Atal,ALG,DF,27.0,11,10,817.0,9.1,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,0.11,0.22,0.33,0.11,0.33,Matches,Adana-Demirspor
Babajide Akintola,NGA,MF,27.0,12,9,906.0,10.1,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.2,0.1,0.3,0.2,0.3,Matches,Adana-Demirspor
Pape Abou Cissé,SEN,DF,27.0,13,9,723.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Badou Ndiaye,SEN,MF,32.0,9,7,601.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Yusuf Barasi,TUR,"FW,MF",20.0,28,6,875.0,9.7,4.0,2.0,6.0,4.0,0.0,0.0,1.0,1.0,0.41,0.21,0.62,0.41,0.62,Matches,Adana-Demirspor
Dorukhan Toköz,TUR,"DF,MF",27.0,20,6,673.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Tayfun Aydoğan,Unknown,"MF,FW",27.0,20,5,677.0,7.5,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,0.27,0.13,0.4,0.13,0.27,Matches,Adana-Demirspor
Abdulsamet Burak,Unknown,DF,27.0,7,5,445.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Abdurrahim Dursun,TUR,DF,24.0,9,5,432.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Arber Zeneli,KVX,MF,28.0,12,2,361.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,Matches,Adana-Demirspor
Jovan Manev,MKD,DF,22.0,5,2,323.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Abat Ajymbetow,KAZ,FW,27.0,9,2,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches,Adana-Demirspor
Nabil Alioui,FRA,MF,24.0,6,2,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Cherif Ndiaye,SEN,FW,27.0,2,2,166.0,1.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.54,0.54,1.08,0.54,1.08,Matches,Adana-Demirspor
Mootez Nourani,TUN,"MF,FW",21.0,4,2,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Vedat Karakuş,TUR,GK,25.0,3,1,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
José Rodríguez,ESP,MF,28.0,5,1,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
