Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_per_90,Ast_per_90,G+A_per_90,G-PK_per_90,G+A-PK_per_90,Matches,Team
Ramazan Civelek,TUR,"MF,DF",27.0,35,20,1724.0,19.2,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,Kayserispor
Mame Baba Thiam,SEN,"FW,MF",30.0,19,19,1653.0,18.4,11.0,2.0,13.0,7.0,4.0,4.0,2.0,0.0,0.6,0.11,0.71,0.38,0.49,Matches,Kayserispor
Dimitrios Kolovetsios,GRE,DF,31.0,23,15,1487.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayserispor
Hasan Ali Kaldırım,TUR,DF,33.0,21,13,1181.0,13.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,Kayserispor
Mehdi Bourabia,MAR,MF,31.0,13,13,1156.0,12.8,3.0,0.0,3.0,3.0,0.0,0.0,5.0,1.0,0.23,0.0,0.23,0.23,0.23,Matches,Kayserispor
Carlos Mané,GNB,MF,29.0,25,11,1138.0,12.6,5.0,2.0,7.0,4.0,1.0,1.0,2.0,0.0,0.4,0.16,0.55,0.32,0.47,Matches,Kayserispor
Julian Jeanvier,GUI,DF,31.0,13,10,903.0,10.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.1,0.2,Matches,Kayserispor
Olivier Kemen,CMR,"MF,FW",27.0,13,10,871.0,9.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches,Kayserispor
Duckens Nazon,HAI,FW,29.0,13,10,838.0,9.3,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,0.21,0.11,0.32,0.21,0.32,Matches,Kayserispor
Majid Hosseini,IRN,DF,27.0,10,9,868.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayserispor
Yaw Ackah,GHA,MF,24.0,19,9,835.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayserispor
Anthony Uzodimma,NGA,DF,24.0,12,8,778.0,8.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,Kayserispor
Stéphane Bahoken,CMR,FW,31.0,23,6,759.0,8.4,3.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.36,0.0,0.36,0.36,0.36,Matches,Kayserispor
Mehmet Eray Özbek,Unknown,MF,20.0,10,6,508.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches,Kayserispor
Otabek Shukurov,UZB,MF,27.0,12,6,492.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayserispor
Onurcan Piri,TUR,GK,28.0,3,3,269.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayserispor
Baran Gezek,TUR,MF,17.0,10,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayserispor
Talha Sarıarslan,TUR,FW,19.0,13,0,92.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.98,Matches,Kayserispor
Hayrullah Erkip,Unknown,FW,20.0,4,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayserispor
Muhammed Arikan,TUR,MF,18.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayserispor
Ahmet Malatyali,Unknown,MF,20.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayserispor
Yiğit Emre Çeltik,TUR,MF,20.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayserispor
Enes Gökcek,Unknown,Unknown,16.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayserispor
Mehmet Öztürk,TUR,GK,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayserispor
Ethem Balcı,Unknown,MF,20.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Kayserispor
Berat Eskin,Unknown,MF,18.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Kayserispor
Nurettin Korkmaz,TUR,FW,21.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Kayserispor
Batuhan Özgan,Unknown,DF,16.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Kayserispor
Squad Total,Unknown,Unknown,28.0,38,418,3420.0,38.0,42.0,28.0,70.0,37.0,5.0,6.0,84.0,4.0,1.11,0.74,1.84,0.97,1.71,Unknown,Kayserispor
Opponent Total,Unknown,Unknown,28.1,38,418,3420.0,38.0,55.0,33.0,88.0,48.0,7.0,8.0,66.0,3.0,1.45,0.87,2.32,1.26,2.13,Unknown,Kayserispor
Guy-Marcelin Kilama,CMR,DF,24.0,35,35,3135.0,34.8,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches,Hatayspor
Erce Kardeşler,TUR,GK,29.0,35,35,3108.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Hatayspor
Fisayo Dele-Bashiru,NGA,MF,22.0,36,34,3035.0,33.7,8.0,3.0,11.0,8.0,0.0,0.0,6.0,0.0,0.24,0.09,0.33,0.24,0.33,Matches,Hatayspor
Rigoberto Rivas,HON,"MF,DF",25.0,29,27,2430.0,27.0,5.0,4.0,9.0,5.0,0.0,0.0,6.0,0.0,0.19,0.15,0.33,0.19,0.33,Matches,Hatayspor
Chandrel Massanga,CGO,MF,23.0,30,27,2282.0,25.4,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,Hatayspor
Carlos Strandberg,SWE,"FW,MF",27.0,36,27,2241.0,24.9,8.0,2.0,10.0,6.0,2.0,2.0,2.0,0.0,0.32,0.08,0.4,0.24,0.32,Matches,Hatayspor
Kamil Çörekçi,TUR,DF,31.0,24,19,1729.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Hatayspor
Faouzi Ghoulam,ALG,DF,32.0,21,18,1419.0,15.8,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,0.06,0.13,0.19,0.06,0.19,Matches,Hatayspor
Görkem Sağlam,GER,MF,25.0,31,17,1515.0,16.8,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,0.12,0.24,0.36,0.12,0.36,Matches,Hatayspor
Ömer Faruk Beyaz,TUR,"MF,FW",19.0,27,17,1377.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Hatayspor
Kerim Alıcı,TUR,DF,26.0,24,16,1430.0,15.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Hatayspor
Nikola Maksimović,SRB,DF,31.0,18,15,1359.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Hatayspor
Giorgi Aburjania,GEO,MF,28.0,20,15,1248.0,13.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,Hatayspor
Joelson Fernandes,POR,MF,20.0,31,14,1402.0,15.6,0.0,3.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.19,0.19,0.0,0.19,Matches,Hatayspor
Renat Dadaşov,AZE,FW,24.0,31,13,1387.0,15.4,6.0,0.0,6.0,3.0,3.0,4.0,7.0,0.0,0.39,0.0,0.39,0.19,0.19,Matches,Hatayspor
Burak Bekaroğlu,Unknown,DF,26.0,15,12,1118.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Hatayspor
Recep Yılmaz,TUR,DF,27.0,11,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Hatayspor
Didier Lamkel Zé,CMR,"MF,FW",26.0,15,9,947.0,10.5,3.0,2.0,5.0,3.0,0.0,1.0,3.0,0.0,0.29,0.19,0.48,0.29,0.48,Matches,Hatayspor
Cemalil Sertel,TUR,DF,23.0,13,8,769.0,8.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,Hatayspor
Mehdi Boudjemaa,ALG,MF,25.0,16,7,640.0,7.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,Hatayspor
Halil Dervişoğlu,TUR,"FW,MF",23.0,11,7,593.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Hatayspor
Cengiz Demir,Unknown,DF,22.0,7,6,526.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Hatayspor
Rui Pedro,POR,MF,25.0,11,5,487.0,5.4,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.55,0.55,0.0,0.55,Matches,Hatayspor
Engin Aksoy,TUR,DF,19.0,5,5,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Hatayspor
Armin Hodžić,BIH,MF,23.0,21,4,532.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,Hatayspor
Doğukan Sınık,TUR,MF,24.0,9,4,319.0,3.5,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.28,0.56,0.85,0.28,0.85,Matches,Hatayspor
Oğuzhan Matur,Unknown,DF,23.0,8,3,326.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Hatayspor
Visar Bekaj,KVX,GK,26.0,4,3,312.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Hatayspor
Bertuğ Yıldırım,TUR,FW,21.0,3,3,258.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.35,0.0,0.35,0.35,0.35,Matches,Hatayspor
Abdülkadir Parmak,TUR,MF,28.0,5,2,199.0,2.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.45,Matches,Hatayspor
Rayane Aabid,FRA,MF,31.0,11,1,211.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.43,0.0,0.43,0.43,0.43,Matches,Hatayspor
Onur Arı,Unknown,FW,22.0,3,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Hatayspor
Musa Çağıran,TUR,MF,30.0,2,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Hatayspor
İbrahim Demir,Unknown,FW,18.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Hatayspor
Demir Sarıcalı,Unknown,GK,18.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Hatayspor
Ali Yıldız,Unknown,MF,16.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Hatayspor
Squad Total,Unknown,Unknown,25.8,38,418,3420.0,38.0,44.0,29.0,73.0,39.0,5.0,7.0,106.0,1.0,1.16,0.76,1.92,1.03,1.79,Unknown,Hatayspor
Opponent Total,Unknown,Unknown,28.2,38,418,3420.0,38.0,50.0,30.0,80.0,46.0,4.0,7.0,75.0,3.0,1.32,0.79,2.11,1.21,2.0,Unknown,Hatayspor
Guilherme Sityá,POR,DF,33.0,37,37,3266.0,36.3,5.0,7.0,12.0,4.0,1.0,1.0,1.0,0.0,0.14,0.19,0.33,0.11,0.3,Matches,Konyaspor
Soner Dikmen,TUR,MF,29.0,37,37,3207.0,35.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Konyaspor
Uğurcan Yazgılı,TUR,"DF,MF",24.0,35,30,2688.0,29.9,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Konyaspor
Sokol Cikalleshi,ALB,FW,33.0,33,30,2345.0,26.1,12.0,5.0,17.0,4.0,8.0,8.0,3.0,0.0,0.46,0.19,0.65,0.15,0.35,Matches,Konyaspor
Steven Nzonzi,FRA,MF,34.0,33,26,2324.0,25.8,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,Konyaspor
Ahmet Oğuz,TUR,DF,30.0,31,25,2107.0,23.4,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.04,0.04,0.09,0.04,0.09,Matches,Konyaspor
Alexandru Cicâldău,ROU,MF,26.0,31,23,2016.0,22.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Konyaspor
Adil Demirbağ,TUR,DF,25.0,23,22,1964.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Marlos Moreno,COL,MF,26.0,29,22,1909.0,21.2,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.09,0.05,0.14,0.09,0.14,Matches,Konyaspor
Oğulcan Ülgün,TUR,MF,25.0,33,21,1754.0,19.5,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,0.05,0.05,0.1,0.05,0.1,Matches,Konyaspor
Louka Prip,DEN,MF,26.0,35,18,1634.0,18.2,6.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches,Konyaspor
Paul Bernardoni,FRA,GK,26.0,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Francisco Calvo,CRC,DF,31.0,17,16,1450.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Jakub Słowik,POL,GK,31.0,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Alassane Ndao,SEN,MF,26.0,16,13,1192.0,13.2,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.15,0.15,0.3,0.15,0.3,Matches,Konyaspor
Teenage Hadebe,ZIM,DF,27.0,11,11,905.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,Konyaspor
Filip Damjanovic,SRB,DF,25.0,13,9,882.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Valon Ethemi,MKD,"MF,FW",25.0,15,9,791.0,8.8,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.11,0.34,0.46,0.11,0.46,Matches,Konyaspor
Robert Murić,CRO,"MF,FW",27.0,16,8,685.0,7.6,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,Konyaspor
Deniz Ertaş,TUR,GK,18.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Nélson Oliveira,POR,FW,31.0,15,4,462.0,5.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches,Konyaspor
Metehan Mert,TUR,DF,24.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Yunus Mallı,TUR,MF,31.0,14,3,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Bruno Paz,ANG,MF,25.0,6,3,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Bouly Sambou,SEN,FW,24.0,10,2,338.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Konrad Michalak,POL,MF,25.0,4,2,228.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.39,Matches,Konyaspor
Kahraman Demirtapa,TUR,DF,29.0,8,2,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Cebrail Karayel,TUR,DF,28.0,12,1,227.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Karahan Yasir Subaşı,TUR,DF,27.0,9,1,200.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Emrehan Gedikli,GER,FW,20.0,5,1,161.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Gökhan Töre,TUR,"FW,MF",31.0,3,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Muhammet Demir,TUR,FW,31.0,5,0,45.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,Matches,Konyaspor
Niko Rak,CRO,DF,20.0,4,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Emmanuel Boateng,GHA,MF,26.0,2,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Anderson Gniangbo,CIV,FW,23.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Mehmet Ali Büyüksayar,TUR,FW,19.0,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Konyaspor
Mehmet Erdogan,TUR,GK,19.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Konyaspor
Muhammed Kocatürk,Unknown,MF,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Konyaspor
Orkun Sarun,Unknown,MF,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Konyaspor
Çağdaş Şendur,Unknown,MF,19.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Konyaspor
Squad Total,Unknown,Unknown,28.5,38,418,3420.0,38.0,40.0,24.0,64.0,31.0,9.0,9.0,75.0,2.0,1.05,0.63,1.68,0.82,1.45,Unknown,Konyaspor
Opponent Total,Unknown,Unknown,28.0,38,418,3420.0,38.0,50.0,33.0,83.0,41.0,9.0,10.0,94.0,4.0,1.32,0.87,2.18,1.08,1.95,Unknown,Konyaspor
Nihad Mujakić,BIH,DF,25.0,36,36,3200.0,35.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,Ankaragucu
Uroš Radaković,SRB,DF,29.0,35,35,3069.0,34.1,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,Ankaragucu
Bahadır Güngördü,Unknown,GK,25.0,32,31,2838.0,31.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Ankaragucu
Efkan Bekiroglu,Unknown,MF,27.0,30,27,2126.0,23.6,9.0,4.0,13.0,9.0,0.0,0.0,2.0,1.0,0.38,0.17,0.55,0.38,0.55,Matches,Ankaragucu
Ali Sowe,GAM,FW,29.0,27,26,2123.0,23.6,6.0,3.0,9.0,6.0,0.0,0.0,5.0,1.0,0.25,0.13,0.38,0.25,0.38,Matches,Ankaragucu
Pedro Filipe Barbosa Moreira,POR,MF,30.0,32,25,2184.0,24.3,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,0.12,0.08,0.21,0.12,0.21,Matches,Ankaragucu
Stelios Kitsiou,GRE,DF,29.0,28,24,2136.0,23.7,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Ankaragucu
Olimpiu Moruțan,ROU,MF,24.0,30,24,2117.0,23.5,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.09,0.13,0.21,0.09,0.21,Matches,Ankaragucu
Tolga Ciğerci,TUR,MF,31.0,27,23,2047.0,22.7,5.0,3.0,8.0,2.0,3.0,3.0,4.0,0.0,0.22,0.13,0.35,0.09,0.22,Matches,Ankaragucu
Ali Kaan Güneren,TUR,MF,23.0,33,20,1918.0,21.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.05,0.05,0.09,0.05,0.09,Matches,Ankaragucu
Renaldo Cephas,JAM,"MF,FW",23.0,31,20,1614.0,17.9,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,0.17,0.06,0.22,0.17,0.22,Matches,Ankaragucu
Matěj Hanousek,CZE,DF,30.0,21,16,1469.0,16.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,Ankaragucu
Atakan Çankaya,TUR,DF,25.0,24,14,1412.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ankaragucu
Anastasios Chatzigiovannis,GRE,MF,26.0,33,12,1381.0,15.3,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.13,0.07,0.2,0.07,0.13,Matches,Ankaragucu
Christian Bassogog,CMR,MF,27.0,13,12,911.0,10.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,Ankaragucu
Yıldırım Mert Çetin,TUR,DF,26.0,18,9,864.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ankaragucu
Garry Rodrigues,CPV,MF,32.0,19,9,807.0,9.0,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,0.22,0.45,0.67,0.22,0.67,Matches,Ankaragucu
Riad Bajić,BIH,FW,29.0,24,8,815.0,9.1,4.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.44,0.0,0.44,0.44,0.44,Matches,Ankaragucu
Hayrullah Bilazer,Unknown,DF,28.0,9,8,708.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ankaragucu
Andrej Đokanović,BIH,MF,22.0,12,7,613.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ankaragucu
Kazımcan Karataş,TUR,DF,20.0,11,6,613.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ankaragucu
Alper Uludağ,TUR,DF,32.0,9,6,503.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches,Ankaragucu
Rafał Gikiewicz,POL,GK,35.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ankaragucu
Federico Macheda,ITA,FW,31.0,21,4,497.0,5.5,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.54,0.0,0.54,0.54,0.54,Matches,Ankaragucu
Alexis Flips,FRA,MF,23.0,10,4,445.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches,Ankaragucu
Riccardo Saponara,ITA,"MF,FW",31.0,8,3,274.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ankaragucu
Ertaç Özbir,TUR,GK,33.0,2,2,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Ankaragucu
Cem Türkmen,TUR,MF,21.0,10,1,168.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.54,0.0,0.54,Matches,Ankaragucu
Giorgi Beridze,GEO,FW,26.0,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ankaragucu
Arda Ünyay,TUR,DF,16.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ankaragucu
