Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Mathys Tel,fr FRA,"FW,MF",18.0,41,10,1438.0,16.0,10.0,6.0,16.0,10.0,0.0,0.0,2.0,0.0,4.5,4.5,3.3,7.8,54.0,34.0,141.0,0.63,0.38,1.0,0.63,1.0,0.34,0.25,0.58,0.34,0.58,Matches,Bayern-Munich
Aleksandar Pavlovic,de GER,MF,19.0,22,16,1434.0,15.9,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,1.2,1.2,1.0,2.2,17.0,127.0,17.0,0.13,0.13,0.25,0.13,0.25,0.08,0.06,0.14,0.08,0.14,Matches,Bayern-Munich
Sven Ulreich,de GER,GK,34.0,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bayern-Munich
Eric Maxim Choupo-Moting,cm CMR,"FW,MF",34.0,34,9,933.0,10.4,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,5.0,5.0,1.9,6.9,24.0,21.0,73.0,0.29,0.19,0.48,0.29,0.48,0.6,0.22,0.82,0.6,0.82,Matches,Bayern-Munich
Serge Gnabry,de GER,FW,28.0,20,10,763.0,8.5,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,3.2,3.2,1.4,4.6,25.0,25.0,69.0,0.59,0.12,0.71,0.59,0.71,0.45,0.2,0.65,0.45,0.65,Matches,Bayern-Munich
Bouna Sarr,sn SEN,DF,31.0,5,2,206.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3.0,2.0,4.0,0.0,0.44,0.44,0.0,0.44,0.17,0.0,0.17,0.17,0.17,Matches,Bayern-Munich
Frans Krätzig,de GER,DF,20.0,7,1,200.0,2.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,1.0,7.0,8.0,0.45,0.45,0.9,0.45,0.9,0.38,0.38,0.77,0.38,0.77,Matches,Bayern-Munich
Bryan Zaragoza,es ESP,MF,22.0,7,1,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,14.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.23,0.11,0.34,0.23,0.34,Matches,Bayern-Munich
Lovro Zvonarek,hr CRO,"FW,MF",18.0,5,1,163.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,7.0,7.0,9.0,0.55,0.0,0.55,0.55,0.55,0.04,0.12,0.15,0.04,0.15,Matches,Bayern-Munich
Sacha Boey,fr FRA,DF,22.0,2,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,Bayern-Munich
Daniel Peretz,il ISR,GK,23.0,2,1,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bayern-Munich
Benjamin Pavard,fr FRA,DF,27.0,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,Bayern-Munich
Taichi Fukui,jp JPN,MF,19.0,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,Bayern-Munich
Matteo Perez Vinlöf,se SWE,FW,17.0,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bayern-Munich
Ryan Gravenberch,nl NED,FW,21.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,1.92,0.0,1.92,Matches,Bayern-Munich
Jonathan Asp Jensen,dk DEN,FW,17.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bayern-Munich
Max Schmitt,de GER,GK,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bayern-Munich
Tom Hülsmann,de GER,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bayern-Munich
Noel Nkili,de GER,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bayern-Munich
Max Scholze,de GER,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bayern-Munich
Adam Aznou,es ESP,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bayern-Munich
Luca Denk,de GER,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bayern-Munich
Jan Oblak,si SVN,GK,30.0,54,54,4950.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atletico-Madrid
Axel Witsel,be BEL,"DF,MF",34.0,51,45,4179.0,46.4,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.2,1.2,0.4,1.6,19.0,117.0,8.0,0.04,0.0,0.04,0.04,0.04,0.03,0.01,0.04,0.03,0.04,Matches,Atletico-Madrid
Antoine Griezmann,fr FRA,"FW,MF",32.0,48,45,3902.0,43.4,24.0,8.0,32.0,20.0,4.0,6.0,7.0,0.0,16.5,12.6,8.7,21.3,68.0,185.0,253.0,0.55,0.18,0.74,0.46,0.65,0.43,0.23,0.66,0.33,0.55,Matches,Atletico-Madrid
Mario Hermoso,es ESP,DF,28.0,45,42,3801.0,42.2,2.0,1.0,3.0,2.0,0.0,0.0,15.0,0.0,1.5,1.5,1.0,2.5,46.0,226.0,76.0,0.05,0.02,0.07,0.05,0.07,0.04,0.03,0.07,0.04,0.07,Matches,Atletico-Madrid
Koke,es ESP,MF,31.0,50,45,3776.0,42.0,0.0,6.0,6.0,0.0,0.0,0.0,9.0,0.0,0.5,0.5,4.8,5.3,32.0,258.0,36.0,0.0,0.14,0.14,0.0,0.14,0.01,0.13,0.15,0.01,0.15,Matches,Atletico-Madrid
Marcos Llorente,es ESP,"MF,DF",28.0,52,38,3595.0,39.9,6.0,6.0,12.0,6.0,0.0,0.0,6.0,0.0,4.4,4.4,7.8,12.2,88.0,135.0,230.0,0.15,0.15,0.3,0.15,0.3,0.12,0.22,0.34,0.12,0.34,Matches,Atletico-Madrid
Rodrigo De Paul,ar ARG,MF,29.0,48,38,3194.0,35.5,4.0,6.0,10.0,4.0,0.0,0.0,11.0,1.0,2.5,2.5,5.8,8.3,87.0,240.0,74.0,0.11,0.17,0.28,0.11,0.28,0.08,0.19,0.28,0.08,0.28,Matches,Atletico-Madrid
Nahuel Molina,ar ARG,DF,25.0,46,33,3013.0,33.5,2.0,5.0,7.0,2.0,0.0,0.0,5.0,1.0,1.4,1.4,3.7,5.0,58.0,108.0,228.0,0.06,0.15,0.21,0.06,0.21,0.05,0.13,0.17,0.05,0.17,Matches,Atletico-Madrid
Samuel Lino,br BRA,DF,23.0,46,36,2983.0,33.1,8.0,8.0,16.0,8.0,0.0,0.0,4.0,0.0,7.6,7.6,5.3,12.9,157.0,98.0,263.0,0.24,0.24,0.48,0.24,0.48,0.27,0.18,0.45,0.27,0.45,Matches,Atletico-Madrid
Álvaro Morata,es ESP,FW,30.0,48,33,2960.0,32.9,21.0,4.0,25.0,21.0,0.0,1.0,7.0,1.0,18.3,17.5,1.8,19.3,34.0,26.0,127.0,0.64,0.12,0.76,0.64,0.76,0.64,0.06,0.71,0.61,0.68,Matches,Atletico-Madrid
Stefan Savić,me MNE,DF,32.0,33,26,2348.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.4,0.4,0.2,0.6,15.0,81.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches,Atletico-Madrid
José María Giménez,uy URU,DF,28.0,33,24,2227.0,24.7,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.5,0.5,1.0,1.5,2.0,30.0,3.0,0.0,0.04,0.04,0.0,0.04,0.03,0.05,0.08,0.03,0.08,Matches,Atletico-Madrid
Saúl Ñíguez,es ESP,MF,28.0,49,23,2078.0,23.1,2.0,4.0,6.0,2.0,0.0,0.0,11.0,1.0,1.9,1.9,3.3,5.2,23.0,46.0,55.0,0.09,0.17,0.26,0.09,0.26,0.09,0.17,0.26,0.09,0.26,Matches,Atletico-Madrid
Ángel Correa,ar ARG,"FW,MF",28.0,47,18,2023.0,22.5,11.0,3.0,14.0,10.0,1.0,1.0,4.0,0.0,10.0,9.2,4.4,13.6,47.0,82.0,162.0,0.49,0.13,0.62,0.44,0.58,0.49,0.22,0.71,0.45,0.67,Matches,Atletico-Madrid
Rodrigo Riquelme,es ESP,DF,23.0,47,20,2003.0,22.3,4.0,5.0,9.0,4.0,0.0,0.0,1.0,0.0,3.4,3.4,3.8,7.2,113.0,62.0,198.0,0.18,0.22,0.4,0.18,0.4,0.17,0.19,0.36,0.17,0.36,Matches,Atletico-Madrid
Pablo Barrios,es ESP,MF,20.0,35,20,1984.0,22.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,2.1,3.4,40.0,113.0,68.0,0.05,0.09,0.14,0.05,0.14,0.06,0.11,0.17,0.06,0.17,Matches,Atletico-Madrid
César Azpilicueta,es ESP,DF,33.0,34,18,1830.0,20.3,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.6,0.6,2.4,3.0,44.0,87.0,48.0,0.0,0.1,0.1,0.0,0.1,0.03,0.13,0.16,0.03,0.16,Matches,Atletico-Madrid
Memphis,nl NED,FW,29.0,31,11,1213.0,13.5,9.0,2.0,11.0,9.0,0.0,0.0,2.0,0.0,6.8,6.8,1.9,8.6,19.0,36.0,87.0,0.67,0.15,0.82,0.67,0.82,0.63,0.17,0.81,0.63,0.81,Matches,Atletico-Madrid
Reinildo Mandava,mz MOZ,DF,29.0,19,8,837.0,9.3,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.9,0.9,0.6,1.5,11.0,37.0,18.0,0.22,0.11,0.32,0.22,0.32,0.1,0.08,0.18,0.1,0.18,Matches,Atletico-Madrid
Gabriel Paulista,br BRA,DF,32.0,5,5,405.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,Atletico-Madrid
Javi Galán,es ESP,DF,28.0,9,2,269.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,6.0,4.0,21.0,0.0,0.33,0.33,0.0,0.33,0.0,0.12,0.12,0.0,0.12,Matches,Atletico-Madrid
Yannick Carrasco,be BEL,DF,29.0,3,3,221.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,9.0,6.0,17.0,0.0,0.41,0.41,0.0,0.41,0.03,0.1,0.12,0.03,0.12,Matches,Atletico-Madrid
Çağlar Söyüncü,tr TUR,DF,27.0,9,2,218.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Atletico-Madrid
Thomas Lemar,fr FRA,MF,27.0,3,3,164.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,5.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1,Matches,Atletico-Madrid
Arthur Vermeeren,be BEL,MF,18.0,5,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Atletico-Madrid
Salim El Jebari,ma MAR,MF,19.0,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atletico-Madrid
Abdellah Raihani,ma MAR,FW,19.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atletico-Madrid
Ilias Kostis,gr GRE,FW,20.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atletico-Madrid
Mini,es ESP,MF,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atletico-Madrid
Horaţiu Moldovan,ro ROU,GK,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atletico-Madrid
Álex Calatrava,es ESP,FW,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atletico-Madrid
Aitor Gismera,es ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atletico-Madrid
Ivo Grbić,hr CRO,GK,27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atletico-Madrid
Javier Boñar Franco,es ESP,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atletico-Madrid
João Félix,pt POR,"FW,MF",23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atletico-Madrid
Marco Moreno,es ESP,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atletico-Madrid
Rayane Belaid,es ESP,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atletico-Madrid
Sergio Mestre,es ESP,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atletico-Madrid
Antonio Gomis,es ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atletico-Madrid
Adrian Niño,es ESP,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atletico-Madrid
Theo Hernández,fr FRA,DF,25.0,46,45,4051.0,45.0,5.0,11.0,16.0,4.0,1.0,2.0,13.0,1.0,5.9,4.3,7.0,11.3,151.0,223.0,164.0,0.11,0.24,0.36,0.09,0.33,0.14,0.16,0.3,0.1,0.26,Matches,Milan
Tijjani Reijnders,nl NED,MF,25.0,50,44,3861.0,42.9,4.0,3.0,7.0,4.0,0.0,0.0,9.0,0.0,3.9,3.9,4.2,8.1,111.0,250.0,113.0,0.09,0.07,0.16,0.09,0.16,0.09,0.1,0.2,0.09,0.2,Matches,Milan
Mike Maignan,fr FRA,GK,28.0,42,42,3699.0,41.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.01,0.01,0.0,0.01,Matches,Milan
Christian Pulisic,us USA,FW,24.0,50,44,3589.0,39.9,15.0,10.0,25.0,15.0,0.0,0.0,3.0,0.0,11.1,11.1,5.7,16.8,165.0,115.0,398.0,0.38,0.25,0.63,0.38,0.63,0.29,0.15,0.43,0.29,0.43,Matches,Milan
Rafael Leão,pt POR,FW,24.0,47,41,3532.0,39.2,15.0,13.0,28.0,15.0,0.0,0.0,8.0,0.0,14.0,14.0,11.9,25.9,206.0,140.0,388.0,0.38,0.33,0.71,0.38,0.71,0.37,0.31,0.68,0.37,0.68,Matches,Milan
Olivier Giroud,fr FRA,FW,36.0,47,39,3331.0,37.0,17.0,10.0,27.0,13.0,4.0,6.0,2.0,1.0,18.5,13.8,5.8,19.5,13.0,37.0,129.0,0.46,0.27,0.73,0.35,0.62,0.5,0.16,0.66,0.37,0.53,Matches,Milan
Davide Calabria,it ITA,DF,26.0,41,36,2958.0,32.9,1.0,4.0,5.0,1.0,0.0,0.0,8.0,2.0,1.5,1.5,2.2,3.7,35.0,176.0,87.0,0.03,0.12,0.15,0.03,0.15,0.05,0.07,0.12,0.05,0.12,Matches,Milan
Ruben Loftus-Cheek,eng ENG,MF,27.0,40,36,2842.0,31.6,10.0,1.0,11.0,10.0,0.0,0.0,6.0,0.0,6.2,6.2,3.6,9.8,100.0,104.0,145.0,0.32,0.03,0.35,0.32,0.35,0.2,0.12,0.32,0.2,0.32,Matches,Milan
Fikayo Tomori,eng ENG,DF,25.0,35,32,2840.0,31.6,4.0,0.0,4.0,4.0,0.0,0.0,12.0,1.0,4.3,4.3,0.2,4.6,20.0,92.0,4.0,0.13,0.0,0.13,0.13,0.13,0.14,0.01,0.14,0.14,0.14,Matches,Milan
Yunus Musah,us USA,MF,20.0,40,22,2245.0,24.9,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,1.3,1.3,2.0,3.3,69.0,90.0,96.0,0.0,0.08,0.08,0.0,0.08,0.06,0.08,0.14,0.06,0.14,Matches,Milan
Malick Thiaw,de GER,DF,21.0,30,25,2161.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.7,0.7,0.3,1.0,17.0,98.0,1.0,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,Matches,Milan
Alessandro Florenzi,it ITA,DF,32.0,40,23,2144.0,23.8,1.0,7.0,8.0,1.0,0.0,0.0,8.0,0.0,1.9,1.9,4.3,6.2,39.0,131.0,58.0,0.04,0.29,0.34,0.04,0.34,0.08,0.18,0.26,0.08,0.26,Matches,Milan
Yacine Adli,fr FRA,MF,23.0,33,21,1860.0,20.7,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,2.5,3.0,38.0,157.0,31.0,0.05,0.1,0.15,0.05,0.15,0.03,0.13,0.16,0.03,0.16,Matches,Milan
Matteo Gabbia,it ITA,DF,23.0,25,21,1808.0,20.1,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,1.9,1.9,0.4,2.3,19.0,68.0,4.0,0.15,0.05,0.2,0.15,0.2,0.1,0.02,0.12,0.1,0.12,Matches,Milan
Simon Kjær,dk DEN,DF,34.0,25,17,1465.0,16.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.9,1.5,4.0,62.0,0.0,0.0,0.06,0.06,0.0,0.06,0.03,0.06,0.09,0.03,0.09,Matches,Milan
Samuel Chukwueze,ng NGA,FW,24.0,33,15,1388.0,15.4,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,2.7,2.7,3.5,6.3,68.0,63.0,175.0,0.19,0.19,0.39,0.19,0.39,0.19,0.25,0.43,0.19,0.43,Matches,Milan
Ismaël Bennacer,dz ALG,MF,25.0,25,16,1334.0,14.8,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,1.9,1.1,2.7,3.8,29.0,83.0,40.0,0.13,0.13,0.27,0.07,0.2,0.13,0.18,0.31,0.07,0.26,Matches,Milan
Luka Jović,rs SRB,"FW,MF",25.0,30,11,1255.0,13.9,9.0,1.0,10.0,9.0,0.0,0.0,4.0,1.0,6.1,6.1,1.9,8.0,11.0,32.0,55.0,0.65,0.07,0.72,0.65,0.72,0.51,0.16,0.67,0.51,0.67,Matches,Milan
Noah Okafor,ch SUI,FW,23.0,36,6,1027.0,11.4,6.0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,4.2,4.2,1.6,5.8,35.0,20.0,76.0,0.53,0.26,0.79,0.53,0.79,0.37,0.14,0.51,0.37,0.51,Matches,Milan
Rade Krunić,ba BIH,"MF,DF",29.0,14,10,898.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,1.0,1.2,13.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,Matches,Milan
Marco Sportiello,it ITA,GK,31.0,9,7,710.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Milan
Pierre Kalulu,fr FRA,DF,23.0,11,5,509.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.1,7.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Milan
Tommaso Pobega,it ITA,MF,24.0,15,5,468.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.2,1.1,8.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.16,0.04,0.2,0.16,0.2,Matches,Milan
Antonio Mirante,it ITA,GK,40.0,3,3,267.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Milan
Jan-Carlo Simic,rs SRB,DF,18.0,6,1,266.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.0,6.0,0.0,0.34,0.0,0.34,0.34,0.34,0.38,0.0,0.38,0.38,0.38,Matches,Milan
Alejandro Jiménez,es ESP,DF,18.0,5,2,208.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,Milan
Luka Romero,ar ARG,"FW,MF",18.0,5,1,158.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Milan
Filippo Terracciano,it ITA,"DF,FW",20.0,6,1,128.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Milan
Chaka Traorè,ci CIV,MF,18.0,4,1,103.0,1.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,0.0,5.0,1.75,0.0,1.75,1.75,1.75,0.21,0.23,0.44,0.21,0.44,Matches,Milan
Davide Bartesaghi,it ITA,FW,17.0,8,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Milan
Marco Pellegrino,,DF,,1,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Milan
Kevin Zeroli,it ITA,MF,18.0,4,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Milan
Mattia Caldara,it ITA,DF,29.0,1,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58,Matches,Milan
Francesco Camarda,it ITA,FW,15.0,2,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Milan
Lapo Nava,it ITA,GK,19.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Milan
Andrea Bartoccioni,it ITA,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Milan
Victor Ehuwa Eletu,ng NGA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Milan
Lorenzo Torriani,it ITA,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Milan
Diego Sia,it ITA,FW,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Milan
Clinton Nsiala,fr FRA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Milan
Noah Raveyre,fr FRA,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Milan
Lorenzo Colombo,it ITA,FW,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Milan
Youssouf Fofana,fr FRA,MF,24.0,35,34,2997.0,33.3,4.0,4.0,8.0,4.0,0.0,0.0,3.0,0.0,5.0,5.0,3.4,8.4,53.0,249.0,86.0,0.12,0.12,0.24,0.12,0.24,0.17,0.11,0.28,0.17,0.28,Matches,Monaco
Wissam Ben Yedder,fr FRA,FW,32.0,34,28,2526.0,28.1,20.0,2.0,22.0,18.0,2.0,2.0,3.0,0.0,12.4,11.6,4.3,15.9,52.0,96.0,229.0,0.71,0.07,0.78,0.64,0.71,0.48,0.17,0.65,0.45,0.62,Matches,Monaco
Denis Zakaria,ch SUI,"MF,DF",26.0,28,27,2407.0,26.7,4.0,0.0,4.0,4.0,0.0,0.0,14.0,2.0,1.4,1.4,1.1,2.5,27.0,107.0,23.0,0.15,0.0,0.15,0.15,0.15,0.06,0.05,0.11,0.06,0.11,Matches,Monaco
Aleksandr Golovin,ru RUS,"MF,FW",27.0,27,27,2326.0,25.8,6.0,6.0,12.0,6.0,0.0,0.0,8.0,1.0,3.4,3.4,4.7,8.0,50.0,172.0,157.0,0.23,0.23,0.46,0.23,0.46,0.14,0.2,0.34,0.14,0.34,Matches,Monaco
Wilfried Singo,ci CIV,DF,22.0,25,24,2187.0,24.3,1.0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,0.8,0.8,1.0,1.9,38.0,145.0,31.0,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.08,0.03,0.08,Matches,Monaco
